"wave","control_id","control_name","target_id","repository_name","current_decision","current_rationale","decision_owner","decision_source","human_decision","human_rationale","human_decision_owner","human_decision_source","assessment_proposal","assessment_confidence","assessment_evidence_paths","assessment_rationale"
"2D","EMS-CTRL-063","Data Classification","REPO-001","bluto","REVIEW_REQUIRED","Data-governance applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATA_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md; docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md; docs/02-domain-model/VALUE-OBJECTS.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","release-manifest.json;SHA256SUMS.txt;docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;docs/02-domain-model/VALUE-OBJECTS.md;docs/03-architecture/ARCHITECTURE-TRACEABILITY.md;docs/03-architecture/DATA-ARCHITECTURE.md;docs/03-architecture/INTEGRATION-ARCHITECTURE.md;docs/03-architecture/PHYSICAL-ARCHITECTURE.md;docs/03-architecture/QUALITY-ATTRIBUTE-SCENARIOS.md;docs/04-contracts/EVENT-CONTRACTS.md;docs/05-security/DATA-CLASSIFICATION-PRIVACY.md;docs/05-security/README.md;docs/05-security/SECURE-SDLC.md;docs/05-security/SECURITY-ARCHITECTURE.md;docs/06-engineering-standards/ENGINEERING-TRACEABILITY.md;docs/08-devops/BUILD-PIPELINE.md;docs/09-ai-factory/AI-OPERATING-POLICY.md;docs/09-ai-factory/VALIDATION-PIPELINE.md;docs/04-contracts/schemas/bluto-v1.openapi.yaml","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md; docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md; docs/02-domain-model/VALUE-OBJECTS.md"
"2D","EMS-CTRL-063","Data Classification","REPO-002","fiskroad","REVIEW_REQUIRED","Data-governance applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATA_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: contracts/vocabulary.yaml; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md; specs/GLOSSARY.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","contracts/vocabulary.yaml;docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md;specs/GLOSSARY.md;specs/PROGRAM_SHARED_VOCABULARY_v0.3.md;specs/REGULATED_DATA_CONTROLS_v0.1.md;workspace/bluto/release-manifest.json;workspace/bluto/SHA256SUMS.txt;workspace/popeye/STATE.md;workspace/bluto/docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;workspace/bluto/docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;workspace/bluto/docs/02-domain-model/VALUE-OBJECTS.md;workspace/bluto/docs/03-architecture/ARCHITECTURE-TRACEABILITY.md;workspace/bluto/docs/03-architecture/DATA-ARCHITECTURE.md;workspace/bluto/docs/03-architecture/INTEGRATION-ARCHITECTURE.md;workspace/bluto/docs/03-architecture/PHYSICAL-ARCHITECTURE.md;workspace/bluto/docs/03-architecture/QUALITY-ATTRIBUTE-SCENARIOS.md;workspace/bluto/docs/04-contracts/EVENT-CONTRACTS.md;workspace/bluto/docs/05-security/DATA-CLASSIFICATION-PRIVACY.md","Repository content contains evidence relevant to this control: contracts/vocabulary.yaml; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md; specs/GLOSSARY.md"
"2D","EMS-CTRL-063","Data Classification","REPO-004","nono","REVIEW_REQUIRED","Data-governance applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATA_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: CHANGELOG.md; README.md; .claude/settings.local.json; .gsd/CODEBASE.md; .gsd/DECISIONS.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","CHANGELOG.md;README.md;.claude/settings.local.json;.gsd/CODEBASE.md;.gsd/DECISIONS.md;.gsd/PROJECT.md;.planning/MILESTONES.md;.planning/NONO_WINDOWS_DESIGN_REVIEW_FUTURE_PHASE_v0.1.md;.planning/PROJECT.md;.planning/REQUIREMENTS.md;.planning/RETROSPECTIVE.md;.planning/ROADMAP.md;.planning/STATE.md;.planning/v2.12-MILESTONE-AUDIT.md;.tmp/upstream-cli.rs.txt;.tmp/upstream-profile-mod.rs.txt;proj/ADR-116-tool-sandbox-disposition.md;proj/ADR-98-network-intent-disposition.md;proj/SPEC-windows-fail-direction-contract.md;scripts/windows-test-harness.ps1","Repository content contains evidence relevant to this control: CHANGELOG.md; README.md; .claude/settings.local.json; .gsd/CODEBASE.md; .gsd/DECISIONS.md"
"2D","EMS-CTRL-064","Database Backup Validation","REPO-001","bluto","REVIEW_REQUIRED","Database applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATABASE_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; implementation/README.md; releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md; releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","release-manifest.json;SHA256SUMS.txt;implementation/README.md;releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md;releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md;.github/workflows/wp002-ci.yml;docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;docs/03-architecture/ARCHITECTURAL-CONSTRAINTS.md;docs/03-architecture/ARCHITECTURAL-DRIVERS.md;docs/03-architecture/ARCHITECTURE-REVIEW.md;docs/03-architecture/ARCHITECTURE-TRACEABILITY.md;docs/03-architecture/ARCHITECTURE-VIEWS.md;docs/03-architecture/ARCHITECTURE-VISION.md;docs/03-architecture/CROSS-CUTTING-CONCERNS.md;docs/03-architecture/DATA-ARCHITECTURE.md;docs/03-architecture/DEPLOYMENT-ARCHITECTURE.md;docs/03-architecture/INTEGRATION-ARCHITECTURE.md;docs/03-architecture/LOGICAL-ARCHITECTURE.md;docs/03-architecture/PHYSICAL-ARCHITECTURE.md","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; implementation/README.md; releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md; releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md"
"2D","EMS-CTRL-064","Database Backup Validation","REPO-002","fiskroad","REVIEW_REQUIRED","Database applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATABASE_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: docs/AGENT_COORDINATION.md; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md; specs/POC_READINESS_INVENTORY.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","docs/AGENT_COORDINATION.md;docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md;specs/POC_READINESS_INVENTORY.md;specs/PROGRAM_ROADMAP_REQUIREMENTS_v0.1.md;workspace/bluto/release-manifest.json;workspace/bluto/SHA256SUMS.txt;workspace/popeye/STATE.md;workspace/bluto/implementation/README.md;workspace/bluto/.github/workflows/wp002-ci.yml;workspace/bluto/docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;workspace/bluto/docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;workspace/bluto/docs/03-architecture/ARCHITECTURAL-CONSTRAINTS.md;workspace/bluto/docs/03-architecture/ARCHITECTURAL-DRIVERS.md;workspace/bluto/docs/03-architecture/ARCHITECTURE-REVIEW.md;workspace/bluto/docs/03-architecture/ARCHITECTURE-TRACEABILITY.md;workspace/bluto/docs/03-architecture/ARCHITECTURE-VIEWS.md;workspace/bluto/docs/03-architecture/ARCHITECTURE-VISION.md;workspace/bluto/docs/03-architecture/CROSS-CUTTING-CONCERNS.md","Repository content contains evidence relevant to this control: docs/AGENT_COORDINATION.md; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md; specs/POC_READINESS_INVENTORY.md"
"2D","EMS-CTRL-064","Database Backup Validation","REPO-003","hometown","REVIEW_REQUIRED","Database applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATABASE_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: cube/README.md; specs/ANSWER_TRACE_ENVELOPE_v0.1.md; specs/EKG_DESIGN_REQUIREMENTS_v0.1.md; specs/HOMETOWN_CORRECTIONS_ATE_v0.3.md; specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","cube/README.md;specs/ANSWER_TRACE_ENVELOPE_v0.1.md;specs/EKG_DESIGN_REQUIREMENTS_v0.1.md;specs/HOMETOWN_CORRECTIONS_ATE_v0.3.md;specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md;specs/IMPLEMENTATION_ROADMAP_NEW_REQUIREMENTS_20260801.md;specs/INTREPID_LOAN_ENGINE_INTEGRATION_NOTES_v0.1.md;specs/INTREPID_SANDBOX_SCHEMA_MAPPING_v0.1.md;specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md;specs/ROADMAP.md;specs/STATE.md;specs/TENANT_ISOLATION_DEFENSE_IN_DEPTH_v0.1.md;specs/TRACE_VIEWER_v0.1.md;specs/WHY_CUBE_SEMANTIC_LAYER.md;sql/answer_trace_ddl.sql;sql/intrepid_tenant_rls.sql;specs/attic/HOMETOWN_INFRA_TERRAFORM_SUPERSEDED_v0.1.md","Repository content contains evidence relevant to this control: cube/README.md; specs/ANSWER_TRACE_ENVELOPE_v0.1.md; specs/EKG_DESIGN_REQUIREMENTS_v0.1.md; specs/HOMETOWN_CORRECTIONS_ATE_v0.3.md; specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md"
"2D","EMS-CTRL-064","Database Backup Validation","REPO-004","nono","REVIEW_REQUIRED","Database applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATABASE_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: CHANGELOG.md; CLAUDE.md; MANUAL_TEST_STEPS.md; nono_state.md; README.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","CHANGELOG.md;CLAUDE.md;MANUAL_TEST_STEPS.md;nono_state.md;README.md;.claude/settings.local.json;.gsd/CODEBASE.md;.gsd/DECISIONS.md;.gsd/PROJECT.md;.planning/MILESTONES.md;.planning/PROJECT.md;.planning/RETROSPECTIVE.md;.planning/ROADMAP.md;.planning/STATE.md;.planning/v1.0-INTEGRATION-REPORT.md;.tmp/upstream-cli.rs.txt;.tmp/upstream-error.rs.txt;.tmp/upstream-profile-mod.rs.txt;ci-logs-local/pr725-threads.json;drivers/README.md","Repository content contains evidence relevant to this control: CHANGELOG.md; CLAUDE.md; MANUAL_TEST_STEPS.md; nono_state.md; README.md"
"2D","EMS-CTRL-064","Database Backup Validation","REPO-005","olive","REVIEW_REQUIRED","Database applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATABASE_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: docs/STATUS.md; src/Olive/Domain.cs; tests/Olive.Tests/RequirementsTests.cs","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","docs/STATUS.md;src/Olive/Domain.cs;tests/Olive.Tests/RequirementsTests.cs","Repository content contains evidence relevant to this control: docs/STATUS.md; src/Olive/Domain.cs; tests/Olive.Tests/RequirementsTests.cs"
"2D","EMS-CTRL-064","Database Backup Validation","REPO-006","popeye","REVIEW_REQUIRED","Database applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATABASE_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: STATE.md; config/litellm.azure.example.yaml; scripts/Test-PopeyeVerificationVm.ps1; specs/ADR-002-gateway-config-delivery.md; specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","STATE.md;config/litellm.azure.example.yaml;scripts/Test-PopeyeVerificationVm.ps1;specs/ADR-002-gateway-config-delivery.md;specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md;specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_SPEC_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md;specs/POPEYE_NETWORK_VERIFICATION_PRIMER.md;specs/POPEYE_VERIFICATION_VM_TEST_PROCEDURE.md;specs/README.md;specs/STAGE1_STAGE2_MVP_COMPLETION_CHECKLIST_v0.1.md;specs/STATE_BACKEND_ACCESS_CONFIRMATION_v0.1.md;sql/ai_usage_grants.sql;envs/azure-eastus2/main.tf;modules/gateway-service-azure/main.tf;modules/gateway-service-azure/variables.tf;modules/gateway-state-azure/main.tf;modules/gateway-state-azure/outputs.tf;modules/gateway-state-azure/variables.tf","Repository content contains evidence relevant to this control: STATE.md; config/litellm.azure.example.yaml; scripts/Test-PopeyeVerificationVm.ps1; specs/ADR-002-gateway-config-delivery.md; specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md"
"2D","EMS-CTRL-065","Data Retention Compliance","REPO-001","bluto","REVIEW_REQUIRED","Data-governance applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATA_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: .github/workflows/wp002-ci.yml; docs/01-foundation-governance/DOCUMENT-STATUS.md; docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md; docs/03-architecture/ARCHITECTURAL-DRIVERS.md; docs/03-architecture/ARCHITECTURE-REVIEW.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH",".github/workflows/wp002-ci.yml;docs/01-foundation-governance/DOCUMENT-STATUS.md;docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;docs/03-architecture/ARCHITECTURAL-DRIVERS.md;docs/03-architecture/ARCHITECTURE-REVIEW.md;docs/03-architecture/ARCHITECTURE-VISION.md;docs/03-architecture/DATA-ARCHITECTURE.md;docs/03-architecture/PHYSICAL-ARCHITECTURE.md;docs/05-security/CRYPTOGRAPHY-SECRETS.md;docs/05-security/DATA-CLASSIFICATION-PRIVACY.md;docs/09-ai-factory/AI-OPERATING-POLICY.md;docs/01-foundation-governance/adrs/ADR-0000-USING-ADRS.md;docs/01-foundation-governance/adrs/ADR-LIFECYCLE.md;implementation/intake/ARCHITECTURE-INTAKE-REPORT.md;implementation/intake/IMPLEMENTATION-BLOCKERS.md;implementation/plan/MASTER-IMPLEMENTATION-PLAN.md","Repository content contains evidence relevant to this control: .github/workflows/wp002-ci.yml; docs/01-foundation-governance/DOCUMENT-STATUS.md; docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md; docs/03-architecture/ARCHITECTURAL-DRIVERS.md; docs/03-architecture/ARCHITECTURE-REVIEW.md"
"2D","EMS-CTRL-065","Data Retention Compliance","REPO-002","fiskroad","REVIEW_REQUIRED","Data-governance applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATA_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md; specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md; specs/REGULATED_DATA_CONTROLS_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md;specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md;specs/REGULATED_DATA_CONTROLS_v0.1.md;workspace/bluto/.github/workflows/wp002-ci.yml;workspace/bluto/docs/01-foundation-governance/DOCUMENT-STATUS.md;workspace/bluto/docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;workspace/bluto/docs/03-architecture/ARCHITECTURAL-DRIVERS.md;workspace/bluto/docs/03-architecture/ARCHITECTURE-REVIEW.md;workspace/bluto/docs/03-architecture/ARCHITECTURE-VISION.md;workspace/bluto/docs/03-architecture/DATA-ARCHITECTURE.md;workspace/bluto/docs/03-architecture/PHYSICAL-ARCHITECTURE.md;workspace/bluto/docs/05-security/CRYPTOGRAPHY-SECRETS.md;workspace/bluto/docs/05-security/DATA-CLASSIFICATION-PRIVACY.md;workspace/bluto/docs/09-ai-factory/AI-OPERATING-POLICY.md;workspace/bluto/docs/01-foundation-governance/adrs/ADR-0000-USING-ADRS.md;workspace/bluto/docs/01-foundation-governance/adrs/ADR-LIFECYCLE.md;workspace/bluto/implementation/intake/ARCHITECTURE-INTAKE-REPORT.md;workspace/bluto/implementation/intake/IMPLEMENTATION-BLOCKERS.md","Repository content contains evidence relevant to this control: docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md; specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md; specs/REGULATED_DATA_CONTROLS_v0.1.md"
"2D","EMS-CTRL-065","Data Retention Compliance","REPO-004","nono","REVIEW_REQUIRED","Data-governance applicability cannot be proven from repository metadata.","Engineering Management","POLICY_DATA_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: CHANGELOG.md; CLAUDE.md; .bg-shell/fix-remaining.py; .gsd/CODEBASE.md; .gsd/DECISIONS.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","CHANGELOG.md;CLAUDE.md;.bg-shell/fix-remaining.py;.gsd/CODEBASE.md;.gsd/DECISIONS.md;.gsd/PROJECT.md;.planning/MILESTONES.md;.planning/PHASE-41-TRACKER.md;.planning/PROJECT.md;.planning/REQUIREMENTS.md;.planning/RETROSPECTIVE.md;.planning/ROADMAP.md;.planning/STATE.md;.planning/v2.12-MILESTONE-AUDIT.md;docs/session-retention.md;proj/ADR-100-ci-pipeline-reconcile.md;proj/ADR-108-deny-domain-posture.md;proj/ADR-111-resource-limits-boundary.md;proj/ADR-112-allow-vars-fail-closed-preserved.md;proj/ADR-113-spiffe-disposition.md","Repository content contains evidence relevant to this control: CHANGELOG.md; CLAUDE.md; .bg-shell/fix-remaining.py; .gsd/CODEBASE.md; .gsd/DECISIONS.md"
